node,lineage
NODE_0000356,B.1
NODE_0000357,B.1.626
NODE_0000358,B.1.626
NODE_0000359,B.1.351
NODE_0000360,B.1.351
NODE_0000361,B.1.351
NODE_0000362,B.1.351
NODE_0000363,B.1.351
NODE_0000364,B.1.351
NODE_0000365,B.1.351
NODE_0000366,B.1.351
NODE_0000367,B.1.351
NODE_0000368,B.1.351
NODE_0000369,B.1.351
NODE_0000370,B.1.351
NODE_0000371,B.1.351
NODE_0000372,B.1.351
NODE_0000373,B.1.351.5
NODE_0000374,B.1.351
NODE_0000375,B.1.351
NODE_0000376,B.1
NODE_0000377,B.1.623
NODE_0000378,B.1.623
NODE_0000379,B.1.623
NODE_0000380,B.1.623
NODE_0000381,B.1
NODE_0000382,B.1
NODE_0000383,B.1.427
NODE_0000384,B.1.427
NODE_0000385,B.1.427
NODE_0000386,B.1.429
NODE_0000387,B.1.429
NODE_0000388,B.1.429
NODE_0000389,B.1.429
NODE_0000390,B.1.429
NODE_0000391,B.1.429
NODE_0000392,B.1.429
NODE_0000393,B.1
NODE_0000394,B.1.630
NODE_0000395,B.1.621
NODE_0000396,B.1.621
NODE_0000397,B.1.621
NODE_0000398,B.1.621
NODE_0000399,B.1.621
NODE_0000400,B.1.621
NODE_0000401,B.1.621
NODE_0000402,B.1.621
NODE_0000403,B.1.621
NODE_0000404,B.1.621.1
NODE_0000405,B.1.621.1
NODE_0000406,B.1.621.1
NODE_0000407,
NODE_0000408,B.1.609
NODE_0000409,
NODE_0000410,B.1.1
NODE_0000411,B.1.1
NODE_0000412,B.1.1.316.1
NODE_0000413,B.1.1
NODE_0000414,B.1.1.180
NODE_0000415,B.1.1
NODE_0000416,B.1.1
NODE_0000417,B.1.1
NODE_0000418,B.1.1
NODE_0000419,B.1.1
NODE_0000420,B.1.1
NODE_0000421,B.1.1.349
NODE_0000422,B.1.1
NODE_0000423,B.1.1
NODE_0000424,B.1.1
NODE_0000425,B.1.1
NODE_0000426,B.1.1.228
NODE_0000427,B.1.1.159
NODE_0000428,B.1.1
NODE_0000429,B.1.1.243
NODE_0000430,B.1.1
NODE_0000431,B.1.1.385
NODE_0000432,B.1.1.317
NODE_0000433,B.1.1.317
NODE_0000434,B.1.1
NODE_0000435,B.1.1.420
NODE_0000436,B.1.1
NODE_0000437,B.1.1.487
NODE_0000438,B.1.1.37
NODE_0000439,B.1.1
NODE_0000440,B.1.1.286
NODE_0000441,B.1.1
NODE_0000442,B.1.1.329
NODE_0000443,B.1.1.329
NODE_0000444,B.1.1
NODE_0000445,B.1.1.432
NODE_0000446,B.1.1.432
NODE_0000447,B.1.1.432
NODE_0000448,B.1.1.10
NODE_0000449,B.1.1.10.3
NODE_0000450,B.1.1.10.3
NODE_0000451,B.1.1.316
NODE_0000452,B.1.1.316
NODE_0000453,B.1.1.316.2
NODE_0000454,B.1.1.265
NODE_0000455,B.1.1.265
NODE_0000456,B.1.1.265
NODE_0000457,B.1.1.265
NODE_0000458,B.1.1
NODE_0000459,B.1.1.307
NODE_0000460,B.1.1.307
NODE_0000461,B.1.1.307
NODE_0000462,B.1
NODE_0000463,B.1
NODE_0000464,B.1.1.355
NODE_0000465,B.1.1.294
NODE_0000466,B.1.1.294
NODE_0000467,B.1.1.294.2
NODE_0000468,B.1.1.294.2
NODE_0000469,B.1.1
NODE_0000470,B.1.1.523
NODE_0000471,B.1.1.523
NODE_0000472,B.1.1.33.5
NODE_0000473,B.1.1.33.5
NODE_0000474,B.1.1
NODE_0000475,B.1.1.301
NODE_0000476,B.1.1.70
NODE_0000477,B.1.1.70
NODE_0000478,B.1.1
NODE_0000479,B.1.1
NODE_0000480,B.1.1
NODE_0000481,B.1.1.231
NODE_0000482,B.1.1
